date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:13	666/666	---M-Z	200	added ('OK')	text/plain	date:Wed,%2026%20Feb%202025%2011:40:12%20GMT	https://edition.cnn.com/robots.txt		(from )
17:10:13	3367354/3367354	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Feb%202025%2011:40:12%20GMT	https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html	(from )
17:10:14	266555/266555	---M-Z	200	added ('OK')	application/javascript	etag:W/%224113b-1951f7a3ea0%22	https://edition.cnn.com/media/sites/js/bundles/business-adfuel-body-7c9bd2f9cbf7bf1fd1500e8a0e1607eda1f84784896ccd0f98f23e7afe932f24.min.js	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/media/sites/js/bundles/business-adfuel-body-7c9bd2f9cbf7bf1fd1500e8a0e1607eda1f84784896ccd0f98f23e7afe932f24.min.js	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:14	266583/266583	---M-Z	200	added ('OK')	application/javascript	etag:W/%2241157-1951f7a3ea0%22	https://edition.cnn.com/media/sites/js/bundles/business-edition-adfuel-body-a1591f5f01349936b2277688247fa6a09642b05b67e7975c36e904bc28f18284.min.js	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/media/sites/js/bundles/business-edition-adfuel-body-a1591f5f01349936b2277688247fa6a09642b05b67e7975c36e904bc28f18284.min.js	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:14	266550/266550	---M-Z	200	added ('OK')	application/javascript	etag:W/%2241136-1951f7a3ea0%22	https://edition.cnn.com/media/sites/js/bundles/cnn-adfuel-body-1af584f873341c508e0ebf06e0089ac96808a5a7c85fab5ee774cd217b6c035d.min.js	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/media/sites/js/bundles/cnn-adfuel-body-1af584f873341c508e0ebf06e0089ac96808a5a7c85fab5ee774cd217b6c035d.min.js	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:15	838984/838984	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ccd48-1951f7a3ea0%22	https://edition.cnn.com/media/sites/js/bundles/cnn-edition-adfuel-c4112fcd4ead64437e684b236cbcf81539badb42519881aade9df2477b438058.min.js	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/media/sites/js/bundles/cnn-edition-adfuel-c4112fcd4ead64437e684b236cbcf81539badb42519881aade9df2477b438058.min.js	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:16	266574/266574	---M-Z	200	added ('OK')	application/javascript	etag:W/%224114e-1951f7a4288%22	https://edition.cnn.com/media/sites/js/bundles/espanol-adfuel-body-4053c9673783e419286498acb6147d8a5bbf855fc33f244bb859a77cffbd803c.min.js	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/media/sites/js/bundles/espanol-adfuel-body-4053c9673783e419286498acb6147d8a5bbf855fc33f244bb859a77cffbd803c.min.js	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:16	838950/838950	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ccd26-1951f7a4288%22	https://edition.cnn.com/media/sites/js/bundles/espanol-adfuel-81a44d93f955141c73854420b5382e178253b911f95e19dc32db15d039f87263.min.js	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/media/sites/js/bundles/espanol-adfuel-81a44d93f955141c73854420b5382e178253b911f95e19dc32db15d039f87263.min.js	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:16	266554/266554	---M-Z	200	added ('OK')	application/javascript	etag:W/%224113a-1951f7a4288%22	https://edition.cnn.com/media/sites/js/bundles/espanol-adfuel-body-dfa466bbfd527905291c205b53f56bb5430a945325dbbbfa47857a22aa128b83.min.js	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/media/sites/js/bundles/espanol-adfuel-body-dfa466bbfd527905291c205b53f56bb5430a945325dbbbfa47857a22aa128b83.min.js	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:17	376993/376993	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c0a1-1951f7a4288%22	https://edition.cnn.com/media/sites/js/bundles/espanol-adfuel-lite-2d879f323bd9d929bc9e02913c1647bf073cc0f657258b43da4b601ceb595228.min.js	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/media/sites/js/bundles/espanol-adfuel-lite-2d879f323bd9d929bc9e02913c1647bf073cc0f657258b43da4b601ceb595228.min.js	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:18	5372/5372	---M--	200	added ('OK')	image/png	etag:W/%2214fc-1951f6f0b70%22	https://edition.cnn.com/media/sites/cnn/apple-touch-icon.png	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/media/sites/cnn/apple-touch-icon.png	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:19	1093875/1093875	---M-Z	404	error ('OK')	text/html	date:Mon,%2001%20Apr%202024%2022:46:20%20GMT	https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/metaURL	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/metaURL	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:20	24339/24339	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226583925f-5f13%22	https://static.chartbeat.com/js/chartbeat_mab.js	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/static.chartbeat.com/js/chartbeat_mab.js	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:21	1093875/1093875	---M-Z	404	error ('OK')	text/html	date:Mon,%2001%20Apr%202024%2022:46:20%20GMT	https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/GET	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/GET	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:23	1093875/1093875	---M-Z	404	error ('OK')	text/html	date:Mon,%2001%20Apr%202024%2022:46:20%20GMT	https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/POST	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/POST	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
17:10:29	540521/540521	---M-Z	200	added ('OK')	text/javascript	etag:%2254b396850335084cf464d798934bea7b%22	https://cdn.optimizely.com/public/125375509/s/articleprod.js	C:/Users/Dinesh.LAPTOP-OO5HEB93/Documents/Clone%20Sites/CNN-New%20Virus/cdn.optimizely.com/public/125375509/s/articleprod.js	(from https://edition.cnn.com/2020/01/06/health/china-pneumonia-intl-hnk/index.html)
